id	text	aspect	polarity
2599	in summer eat outside on a terrace another great feature of suan	ambience	1
2600	the service was excellent friendly and attentive	service	1
2601	great for large groups and celebrations our super happy waiter was the entertainment of the evening	anecdotes miscellaneous	1
2602	no thanks	anecdotes miscellaneous	-1
2603	good music great food speedy service affordable prices	price	1
2604	we were told that they were booked solid and no other table was available	service	-1
2605	good for dates or with friends	anecdotes miscellaneous	1
2606	the food was well prepared and the service impecable	service	1
2607	since it literally is a complete hole in the wall it is a bit intimidating at first but you get over that very quickly as soon as the friendly staff welcomes you do not hesitate to ask for help with what to get	ambience	-1
2608	from the spectacular caviar to the hospitable waitstaff i felt like royalty and enjoyed every second of it	service	1
2609	go to any corned indian restaurant and the little india strip along east st rules supreme	anecdotes miscellaneous	1
2610	the yellowtail was particularly good as well	food	1
2611	if you want good authentic thai this place is not the place to go	food	-1
2612	this is a wonderful place on all stand points especially value ofr money	price	1
2613	we had the most wonderful waitress	service	1
2614	dakshin is one of the few affordable and tasty indian restaurant in the upper east side	price	1
2615	while the ambiance and atmosphere were great the food and service could have been a lot better	service	-1
2616	look foward to trying the ruben upon returning	anecdotes miscellaneous	1
2617	still any quibbles about the bill were off set by the pour your own measures of liquers which were courtesey of the house	food	1
2618	check it out	anecdotes miscellaneous	1
2619	the staff is accomodating the ambiance is exciting and yet relaxed and the food is out of this world	food	1
2620	solid wine list knowledgeable staff friendly owners and an adventurous ever changing menu keep us coming back	service	1
2621	the staff is not the friendliest or most competent and i am stickler for service but everything else about this place makes up for it	anecdotes miscellaneous	1
2622	every time in new york i make it a point to visit restaurant saul on smith street	anecdotes miscellaneous	1
2623	decent wine at reasonable prices	price	1
2624	i would highly recommend this place to anyone who is looking for a fine indian dining experience that is definitely a value for your dollar	anecdotes miscellaneous	1
2625	i am not sure if i would call the food here indian as it is a fusion of what seems to be french with an indian or exotic touch	food	0
2626	otherwise this place has great service and prices and a nice friendly atmosphere	price	1
2627	while the room is not particularly comfortable once you are seated you ll forget about everything except what on your plate	ambience	-1
2628	so all i am trying to say is this restaurant is by far the best thai food restaurant i have ever been to	food	1
2629	go for it	anecdotes miscellaneous	1
