id	text	aspect	polarity
0	told us to sit anywhere and when we sat he said the table was reserved	service	-1
1	and at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water	food	-1
2	everything is always cooked to perfection the service is excellent the decor cool and understated	ambience	1
3	their exotic salad is basic ly a delcious little green salad with a peanut sauce that is perfect before their sweet basil fried tofu	food	1
4	service was very prompt but slightly rushed	service	1
5	is just the way it was in days gone by	anecdotes miscellaneous	0
6	good music great food speedy service affordable prices	food	1
7	incredibly poor service an food quality at exorbitant prices	service	-1
8	i have never been disappointed in the red eye	anecdotes miscellaneous	1
9	this place has good potential but needs a significant amount of work before we can justify spending that much money on indian food you can get everywhere else	food	0
10	after dining at b o g over twenty times now its official	anecdotes miscellaneous	0
11	definitely not worth the price	price	-1
12	the only problem is that the manager is a complete incompetent	service	-1
13	obviously the chinese translation of this place does not mean big wong it actually means great prosperity	anecdotes miscellaneous	0
14	i ate here a week ago and found most dishes average at best and too expensive	price	-1
15	the food dazzling flavors overwhelm the palate truly embracing the beauty of authentic thai cuisine	food	1
16	you ll adore it	anecdotes miscellaneous	1
17	and there is much tasty food all of it fresh and continually refilled	food	1
18	great vibe lots of people	ambience	1
19	the food was just ok at least for what food was available	food	-1
20	a touch more jalapeno heat for contrast and it would have been very good indeed	food	1
21	my fish was delicious in an incredible curry sauce	food	1
22	if i could rate the people this place would be off the charts unfortunately the pizza sorry not the best in nyc	service	1
23	leon is an east village gem casual but hip with well prepared basic french bistro fare good specials a warm and lively atmosphere	food	1
24	food is great	food	1
25	highly highly highly recommended	anecdotes miscellaneous	1
26	looking from the outside in one would hesitate to enter this hole in the wall really that is what it is	ambience	-1
27	granted the space is smaller than most it is the best service you will find in even the largest of restaurants	ambience	-1
28	solid wine list knowledgeable staff friendly owners and an adventurous ever changing menu keep us coming back	food	1
29	from the terrible service to the bland food not to mention the unaccommodating managers the overall experience was horrible	food	-1
30	this is my favorite italian restaurant in all of new york city	anecdotes miscellaneous	1
31	i recommend the jelly fish drunken chicken and the soupy dumplings certainly the stir fry blue crab	food	1
32	the vibe is very relaxed and cozy service was great and the food was excellent	ambience	1
33	planet thai is great	anecdotes miscellaneous	1
34	the service is outstanding and my crab cake eggs benedict could not have been better	service	1
35	the owners and employees are friendly and their pizza is fantastic	service	1
36	for an untrendy rip off eat here	anecdotes miscellaneous	-1
37	they refuse to seat parties of or more on weekends	service	-1
38	i would defiantly come back here again as one of my top choices	anecdotes miscellaneous	1
39	it is thick and slightly soggy	food	-1
40	it is really a takeaway place i wouldn t sit if i could take it home	anecdotes miscellaneous	0
41	when i called this morning i didn t think i would be able to get in at but i was able to get in along with four other guests	anecdotes miscellaneous	0
42	however it is the only taiwanese restaurant in town	anecdotes miscellaneous	0
43	when you enter you feel like you have entered your mom kitchen	ambience	1
44	this place has got to be the best japanese restaurant in the new york area	anecdotes miscellaneous	1
45	highly recommended for a first date	anecdotes miscellaneous	1
46	the menu is nothing like the one on the website	food	-1
47	eating at ottimo is like eating in chef salvatore esposito home	anecdotes miscellaneous	1
48	oh do not even let me start with how expensive the bills were	price	-1
49	haru serves very fresh fish has a trendy modern ambiance prime location on park avenue south and friendly service	service	1
50	my friends and i have been going here regularly for two years	anecdotes miscellaneous	0
51	i think this would be a pretty good spot if it were not so overpriced and overrated	price	-1
52	the waitress remembers me and is very friendly she knows what my regular is and that is the fried mini buns with the condensed milk and the assorted fruits on beancurd	food	1
53	three courses choices include excellent mussels puff pastry goat cheese and salad with a delicious dressing and a hanger steak au poivre that is out of this world	food	1
54	the signs the specials menus food and even all the waitstaff are all totally japanese	service	1
55	for the quality of food a little too expensive	price	-1
56	slightly above average wines start at with only one selection listed at	price	-1
57	the food is very good for it is price better than most fried dumplings i have had	food	1
58	a must try	anecdotes miscellaneous	1
59	definitely worth the trip to battery park city	anecdotes miscellaneous	1
60	however they ve got the most amazing pastrami and the soups hit the spot	food	1
61	i will definetly be going back	anecdotes miscellaneous	1
62	the service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura	food	1
63	i wish i lived there as i would eat at this place as often as possible	anecdotes miscellaneous	1
64	authentic food and they have real service not just the rush you get sometimes when they try to push you out the door	service	1
65	that place was awesome sally	anecdotes miscellaneous	1
66	went there last night for year anniversery and was not all that impressed	anecdotes miscellaneous	-1
67	arigato gozimas yuka	anecdotes miscellaneous	0
68	the food is okay and the prices here are mediocre	food	0
69	great food at reasonable prices makes for an evening that can not be beat	price	1
70	i can not wait for summer when they serve outside on their gigantic patio	ambience	1
71	its a nice quiet location to go eat a good meal relax be able to talk and have a very good time	food	1
72	you get what you pay for and with that logic in mind spice is a great place to grab some cheap eats and drinks in a beautiful setting	price	1
73	we ordered some beef and noodle soup dishes from the thai section of the menu but nothing we got was thai	food	-1
74	if you are the type of person who likes being scared and entertained this is a great place to go and eat	anecdotes miscellaneous	1
75	the service was attentive yet unimposing the food was far better than many notorious restaurants in midtown and the wine list is extensive and well priced	food	1
76	the prices are wonderfully low	price	1
77	unfortunately the food is outstanding but everything else about this restaurant is the pits	food	1
78	it is also extremely well priced	price	1
79	service is friendly prices are good delivery time was a little slow but for the way this pizza tastes i am willing to overlook it	price	1
80	it is great to go for a quick lunch either alone or with a friend	anecdotes miscellaneous	1
81	what a great place	anecdotes miscellaneous	1
82	we had great desserts including the best cannoli i have ever had and then they offered an after dinner drink on the house	service	1
83	great wine list reasonably priced sara	food	1
84	the most annoying thing though is the fact that the servers seem to be trained to drive revenue	service	-1
85	i have never had bad service and the fish is fresh and delicious	service	1
86	the food was amazing and the service was prompt and helpful but not over bearing or rushed	food	1
87	the food is amazing rich pastas and fresh doughy pizza	food	1
88	the sandwiches are dry tasteless and way overpriced	food	-1
89	they are rude at times and not very friendly	service	-1
90	will have to return to try the chocolate	anecdotes miscellaneous	0
91	we have been to this place many times and always have great food wine and service	service	1
92	the waiters are sweet the food is tasty and the bill is never too large	service	1
93	now it is so crowded and loud you can not even talk to the person next to you	ambience	-1
94	usually vs items per dish	food	0
95	in fact you can not miss it	anecdotes miscellaneous	1
96	i found the food service and value exceptional everytime i have been there	service	1
